Id,Label,Latitude,Longitude,Densidade,Tipo
"28.0_-154.0","28.0_-154.0",28.1700,-153.9500,0.267000,"Intermediario"
"41.0_-127.0","41.0_-127.0",41.2000,-126.1100,0.000000,"Intermediario"
"-3.0_-99.0","-3.0_-99.0",-2.0400,-98.4400,0.000000,"Intermediario"
"17.0_-73.0","17.0_-73.0",17.4250,-72.3850,0.004233,"Intermediario"
"13.0_-113.0","13.0_-113.0",13.6350,-112.7750,0.001260,"Intermediario"
"-14.0_92.0","-14.0_92.0",-13.8559,92.1060,0.482000,"Intermediario"
"15.0_-79.0","15.0_-79.0",15.5700,-78.9800,0.000000,"Intermediario"
"-4.0_-156.0","-4.0_-156.0",-3.3500,-155.5900,0.000000,"Intermediario"
"-1.0_-153.0","-1.0_-153.0",-0.7300,-152.5500,0.000000,"Intermediario"
"15.0_-133.0","15.0_-133.0",15.4600,-132.0400,0.001580,"Intermediario"
"47.0_-3.0","47.0_-3.0",47.1351,-2.7803,1.262000,"Intermediario"
"33.0_-158.0","33.0_-158.0",33.8800,-157.4100,0.021300,"Intermediario"
"24.0_-83.0","24.0_-83.0",24.2597,-82.4190,0.007709,"Intermediario"
"3.0_-160.0","3.0_-160.0",3.4067,-159.3100,0.000000,"Intermediario"
"6.0_-162.0","6.0_-162.0",6.4150,-161.6825,0.000505,"Intermediario"
"11.0_-160.0","11.0_-160.0",11.4900,-159.0200,0.000866,"Intermediario"
"25.0_154.0","25.0_154.0",25.0990,154.1570,0.040400,"Intermediario"
"5.0_-85.0","5.0_-85.0",5.9100,-84.7900,0.000000,"Intermediario"
"-4.0_-143.0","-4.0_-143.0",-3.5500,-142.7050,0.000000,"Intermediario"
"20.0_-111.0","20.0_-111.0",20.2700,-110.4600,0.004100,"Intermediario"
"-7.0_-145.0","-7.0_-145.0",-6.1300,-144.0900,0.000000,"Intermediario"
"60.0_-50.0","60.0_-50.0",60.4600,-49.5400,0.006690,"Intermediario"
"27.0_-43.0","27.0_-43.0",27.1221,-42.9629,0.053200,"Intermediario"
"6.0_89.0","6.0_89.0",6.4692,89.3732,0.001670,"Intermediario"
"31.0_132.0","31.0_132.0",31.6966,132.3959,0.134900,"Intermediario"
"-16.0_-149.0","-16.0_-149.0",-15.5641,-148.4286,0.001055,"Intermediario"
"75.0_51.0","75.0_51.0",75.9524,51.9267,0.203000,"Intermediario"
"35.0_-152.0","35.0_-152.0",35.9200,-151.7500,0.137000,"Intermediario"
"28.0_-75.0","28.0_-75.0",28.4033,-74.3767,0.025927,"Intermediario"
"41.0_-63.0","41.0_-63.0",41.7200,-62.6000,0.000000,"Intermediario"
"30.0_-156.0","30.0_-156.0",30.3100,-155.9300,0.046200,"Intermediario"
"32.0_-59.0","32.0_-59.0",32.7200,-58.3425,0.061875,"Intermediario"
"42.0_151.0","42.0_151.0",42.0580,151.5940,0.241600,"Intermediario"
